step,observation,action,reward,terminated,truncated
49,"[0.2702982820190333, 0.7164789808649551, 0.962776629721328, 0.6976086796899214, 0.12918419034689532, -0.11875079075649216, 3.6111219259143112, 1.2634940898080202, -0.15473186799269467, 0.3116493514157063]","[0.049, 0.01]",-0.35044822187472496,False,True
50,"[0.1988771906525991, 0.6985195423577973, 0.9800244196131696, 0.7155909788030124, 0.12918419034689532, -0.11875079075649216, 3.73753175815626, 1.277990708603946, -0.17115783917287292, 0.30771016125850054]","[0.05, 0.01]",-0.3547087179438468,False,True
51,"[0.12385961487254346, 0.6798984871433325, 0.9922997509843612, 0.7333062437891879, 0.12918419034689532, -0.11875079075649216, 3.8654008645522837, 1.292196231604184, -0.18757736603924335, 0.30218471542472297]","[0.051000000000000004, 0.01]",-0.35837060860683767,False,True
52,"[0.04555742709771801, 0.66061719699073, 0.9989617214068996, 0.750722930940644, 0.12918419034689532, -0.11875079075649216, 3.9947005248093284, 1.3061161869725262, -0.20381156762070157, 0.2950015605950425]","[0.052000000000000005, 0.01]",-0.3613637242434213,False,True
53,"[-0.035624636580203276, 0.6406783429062164, 0.9993652411748812, 0.7678093910150777, 0.12918419034689532, -0.11875079075649216, 4.125402585134492, 1.3197559863176236, -0.2196626132789971, 0.2861084302731925]","[0.053, 0.01]",-0.3636162185941785,False,True
54,"[-0.1191814227233897, 0.6200859059796191, 0.9928724935648225, 0.7845339184544127, 0.12918419034689532, -0.11875079075649216, 4.2574794465249886, 1.333120927668988, -0.2349151784232625, 0.2754761845869129]","[0.054, 0.01]",-0.3650550439278562,False,True
55,"[-0.2045007575770733, 0.5988451957302734, 0.9788664056705609, 0.8008648022923536, 0.12918419034689532, -0.11875079075649216, 4.3909040532791686, 1.3462161984712782, -0.24933861720461947, 0.263102822240077]","[0.055, 0.01]",-0.36560650449396076,False,True
56,"[-0.2908581836455872, 0.5769628658728087, 0.9567661767675475, 0.8167703786278218, 0.12918419034689532, -0.11875079075649216, 4.5256498817257045, 1.3590468785973036, -0.26268992431202004, 0.24901745199090924]","[0.056, 0.01]",-0.3651968925437935,False,True
57,"[-0.377413471677577, 0.5544469274276259, 0.9260448538792702, 0.8322190845360763, 0.12918419034689532, -0.11875079075649216, 4.661690929168141, 1.371617943379832, -0.2747175446937664, 0.23328408791175226]","[0.057, 0.01]",-0.3637532106238351,False,True
58,"[-0.4632093863899496, 0.531306759105626, 0.8862488726989989, 0.8471795132843312, 0.12918419034689532, -0.11875079075649216, 4.799001703042147, 1.3839342666619463, -0.285166071073069, 0.21600510976418638]","[0.058, 0.01]",-0.3612039831378775,False,True
59,"[-0.5471732190953138, 0.5075531149019333, 0.8370193954173772, 0.8616204707139593, 0.12918419034689532, -0.11875079075649216, 4.937557210282906, 1.3960006238653386, -0.2937818439473324, 0.19732420824173658]","[0.059000000000000004, 0.01]",-0.3574801593537953,False,True
60,"[-0.6281216239797425, 0.4831981288389628, 0.7781151749510166, 0.875511032646948, 0.12918419034689532, -0.11875079075649216, 5.077332946900178, 1.4078216950755678, -0.30031943697058655, 0.1774286159796611]","[0.06, 0.01]",-0.3525161091331479,False,True
61,"[-0.7047693029695372, 0.45825531680518217, 0.7094365578343371, 0.8888206031701685, 0.12918419034689532, -0.11875079075649216, 5.218304887758651, 1.4194020681429516, -0.3045489720763179, 0.15655041073403947]","[0.061, 0.01]",-0.34625071175664407,False,True
62,"[-0.7757420723361246, 0.4327395754423004, 0.6310501067329399, 0.9015189736472647, 0.12918419034689532, -0.11875079075649216, 5.3604494765613, 1.4307462417973964, -0.30626416359431646, 0.1349666688284836]","[0.062, 0.01]",-0.3386285374330637,False,True
63,"[-0.8395948074815083, 0.40666717804035624, 0.5432131802985721, 0.9135763823045631, 0.12918419034689532, -0.11875079075649216, 5.503743616033533, 1.4418586287751094, -0.3052909395572442, 0.11299824685670848]","[0.063, 0.01]",-0.3296011206400907,False,True
64,"[-0.894834695608556, 0.3800557674072465, 0.44639765628320993, 0.9249635742344068, 0.12918419034689532, -0.11875079075649216, 5.6481646583059915, 1.452743558954773, -0.3014964324897867, 0.09100697980098513]","[0.064, 0.01]",-0.3191283247565505,False,True
65,"[-0.9399501241498962, 0.3529243456866144, 0.3413118282606022, 0.9356518616567142, 0.12918419034689532, -0.11875079075649216, 5.7936903954939085, 1.4634052825004076, -0.29479807291531146, 0.06939110625175887]","[0.065, 0.01]",-0.3071797992378925,False,True
66,"[-0.9734453912035239, 0.3252932611056793, 0.22891935336405744, 0.9456131842773938, 0.12918419034689532, -0.11875079075649216, 5.940299050471008, 1.4738479730077974, -0.2851724589353994, 0.04857876821213915]","[0.066, 0.01]",-0.2937365352184464,False,True
67,"[-0.9938812388404266, 0.2971841916424909, 0.1104539862613337, 0.9548201695805337, 0.12918419034689532, -0.11875079075649216, 6.087969267835961, 1.4840757306510066, -0.27266361755195173, 0.029019485643282134]","[0.067, 0.01]",-0.2787925355051384,False,True
68,"[-0.9999209782501032, 0.26862012561023396, -0.012571286941145015, 0.9632461928900328, 0.12918419034689532, -0.11875079075649216, 6.236680105069449, 1.494092585325179, -0.2573902216098447, 0.011173575538226219]","[0.068, 0.01]",-0.26235663568630707,False,True
69,"[-0.9903816962526557, 0.23962533916451798, -0.13836219038347264, 0.970865437035581, 0.12918419034689532, -0.11875079075649216, 6.386411023879934, 1.503902499781489, -0.2395512846796693, -0.004500427748186792]","[0.069, 0.01]",-0.24445455550931794,False,True
70,"[-0.9642897070470848, 0.21022537074807235, -0.2648496948894738, 0.9776529514576405, 0.12918419034689532, -0.11875079075649216, 6.53714188173624, 1.5135093727497988, -0.21942982974841918, -0.017560190559309144]","[0.07, 0.01]",-0.22513134823531944,False,True
71,"[-0.9209390454784315, 0.18044699249585483, -0.3897066518719888, 0.9835847105863332, 0.12918419034689532, -0.11875079075649216, 6.688852923585066, 1.5229170420442752, -0.19739402147234192, -0.027595557550843183]","[0.07100000000000001, 0.01]",-0.20445460844048075,False,True
72,"[-0.8599513965149919, 0.15031817863226998, -0.5103759355924956, 0.9886376713299352, 0.12918419034689532, -0.11875079075649216, 6.841524773751582, 1.5321292876469388, -0.17389527130278992, -0.03424567994599374]","[0.07200000000000001, 0.01]",-0.1825192447354486,False,True
73,"[-0.781335432203461, 0.11986807090091339, -0.624111322108028, 0.9927898295099994, 0.12918419034689532, -0.11875079075649216, 6.995138428021222, 1.5411498347638464, -0.14946287511346978, -0.03721674871439122]","[0.073, 0.01]",-0.1594557425548395,False,True
74,"[-0.6855430990661986, 0.0891269410759957, -0.728032045532827, 0.9960202750820065, 0.12918419034689532, -0.11875079075649216, 7.149675245900825, 1.5499823568483684, -0.12469482845673156, -0.036299650017889415]","[0.074, 0.01]",-0.1354469545482552,False,True
75,"[-0.573519987823107, 0.058126150613296027, -0.8191915670753596, 0.998309245982867, 0.12918419034689532, -0.11875079075649216, 7.305116943057218, 1.5586304785857836, -0.10024458850191256, -0.031386731518593655]","[0.075, 0.01]",-0.11076834552620675,False,True
76,"[-0.4467465508442119, 0.02689810750712507, -0.8946605609440935, 0.9996381804495741, 0.12918419034689532, -0.11875079075649216, 7.461445583931348, 1.5670977788332177, -0.0768037155612201, -0.022486757535724808]","[0.076, 0.01]",-0.08590390131247527,False,True
77,"[-0.3072666433293177, -0.004523779571718346, -0.951623460144365, 0.9999897676568428, 0.12918419034689532, -0.11875079075649216, 7.6186435745260335, 1.5753877935087606, -0.0550805300461575, -0.009737049854535537]","[0.077, 0.01]",-0.06196355935318852,False,True
78,"[-0.15769968877357748, -0.03610514977365559, -0.9874871179720355, 0.9993479965256457, 0.12918419034689532, -0.11875079075649216, 7.776693655365363, 1.5835040184234468, -0.035775158944300806, 0.006588228613688657]","[0.078, 0.01]",-0.04256073368729265,False,True
79,"[-0.001232747999174175, -0.06781074111221193, -0.9999992401658966, 0.997698202559177, 0.12918419034689532, -0.11875079075649216, 7.935578894623742, 1.5914499120496395, -0.019551612225044257, 0.026074675808129444]","[0.079, 0.01]",-0.03893170817115748,False,True
80,"[0.15841105439693398, -0.09960444395067526, -0.9873732515340142, 0.9950271125679324, 0.12918419034689532, -0.11875079075649216, 8.095282681422551, 1.5992288982192597, -0.007007812876435676, 0.04817008676630791]","[0.08, 0.01]",-0.055177168163162184,False,True
81,"[0.3170308811801762, -0.13144935682650324, -0.9484152151764126, 0.9913228871512544, 0.12918419034689532, -0.11875079075649216, 8.255788719292305, 1.6068443687452172, 0.0013552106066608838, 0.07219351758824742]","[0.081, 0.01]",-0.07886723641731368,False,True
82,"[0.4700357618753911, -0.16330784449915314, -0.8826473715806447, 0.9865751608088663, 0.12918419034689532, -0.11875079075649216, 8.417081019798177, 1.6142996859593506, 0.0051634926280109406, 0.09735153333890732]","[0.082, 0.01]",-0.10431237212486373,False,True
83,"[0.612562865000244, -0.19514159810007148, -0.7904218724343937, 0.9807750795625622, 0.12918419034689532, -0.11875079075649216, 8.579143896326698, 1.6215981851601569, 0.0041979551840530815, 0.1227618746467144]","[0.083, 0.01]",-0.12982263014461037,False,True
84,"[0.7396266237220297, -0.22691169725704874, -0.6730174273238035, 0.9739153359753225, 0.12918419034689532, -0.11875079075649216, 8.741961958031338, 1.6287431769635994, -0.0015819786335689312, 0.14748437572692016]","[0.084, 0.01]",-0.1546488599626315,False,True
85,"[0.8462972549095159, -0.25857867405905455, -0.5327109500776362, 0.9659902014626552, 0.12918419034689532, -0.11875079075649216, 8.90552010393467, 1.6357379495503177, -0.01202092122689577, 0.17055849480574303]","[0.085, 0.01]",-0.17830658584345832,False,True
86,"[0.9279052980262643, -0.29010257872205186, -0.37281598395829213, 0.9569955557988844, 0.12918419034689532, -0.11875079075649216, 9.069803517184733, 1.6425857708026284, -0.026758100374979638, 0.19104629545647595]","[0.08600000000000001, 0.01]",-0.20040707522203227,False,True
87,"[0.9802666448848208, -0.3214430468111829, -0.1976798040424376, 0.9469289137294011, 0.12918419034689532, -0.11875079075649216, 9.2347976594631, 1.6492898903247988, -0.04522769025208247, 0.2080791719120772]","[0.08700000000000001, 0.01]",-0.220606750878406,False,True
88,"[0.9999202163714859, -0.35255936787015324, -0.012631741431837085, 0.9357894486084987, 0.12918419034689532, -0.11875079075649216, 9.400488265542183, 1.6558535413402036, -0.06667025974670646, 0.2209060793351681]","[0.088, 0.01]",-0.23859152311114606,False,True
89,"[0.9843680844809096, -0.38341055530463797, 0.1761234631029746, 0.9235780129913169, 0.12918419034689532, -0.11875079075649216, 9.566861337989149, 1.6622799424591257, -0.09015619854804799, 0.2289405553215954]","[0.089, 0.01]",-0.25407367323806,False,True
90,"[0.9323055889681433, -0.41395541736312724, 0.3616715205525084, 0.9102971561175609, 0.12918419034689532, -0.11875079075649216, 9.733903142013792, 1.6685722993111494, -0.11462131599923073, 0.23180345132939953]","[0.09, 0.01]",-0.26679405664016487,False,True
91,"[0.8438270422338641, -0.4441526290558252, 0.5366152465173241, 0.8959511382339991, 0.12918419034689532, -0.11875079075649216, 9.901600200457658, 1.674733806036302, -0.1389140014421583, 0.22935808467913738]","[0.091, 0.01]",-0.27652691327177503,False,True
92,"[0.7205911658570124, -0.4739608048500536, 0.6933602034215921, 0.8805459417122365, 0.12918419034689532, -0.11875079075649216, 10.069939288921608, 1.680767646629347, -0.1618524234154078, 0.22173452418847656]","[0.092, 0.01]",-0.28308614151599965,False,True
93,"[0.5659296876225184, -0.5033385719790776, 0.8244535091001062, 0.8640892789278565, 0.12918419034689532, -0.11875079075649216, 10.238907431029002, 1.6866769961318921, -0.1822892820439893, 0.20933997962768486]","[0.093, 0.01]",-0.28633251791601855,False,True
94,"[0.38488278299831596, -0.5322446442004, 0.9229654616243618, 0.846590596876666, 0.12918419034689532, -0.11875079075649216, 10.408491893821555, 1.692465021667274, -0.19918068484069373, 0.19285280862419962]","[0.094, 0.01]",-0.28618165101701765,False,True
95,"[0.18414648895260555, -0.5606378958393424, 0.982898809952697, 0.8280610785134359, 0.12918419034689532, -0.11875079075649216, 10.578680183284924, 1.6981348833135022, -0.21165487611465755, 0.17319849708339016]","[0.095, 0.01]",-0.28261267060885237,False,True
96,"[-0.028079968101883162, -0.5884774359541761, 0.9996056799515483, 0.808513640808118, 0.12918419034689532, -0.11875079075649216, 10.749460040000983, 1.703689734809882, -0.21907590934906462, 0.15150709832364773]","[0.096, 0.01]",-0.27567788710018376,False,True
97,"[-0.24235468815765837, -0.6157226824601457, 0.9701877164384242, 0.7879629295240244, 0.12918419034689532, -0.11875079075649216, 10.920819434923738, 1.709132724093309, -0.22109700819294903, 0.1290529895994248]","[0.097, 0.01]",-0.26551400220976584,False,True
98,"[-0.44836340540347924, -0.64233343605146, 0.8938513616340221, 0.7664253107317927, 0.12918419034689532, -0.11875079075649216, 11.092746565275732, 1.71446699366061, -0.2176984065611032, 0.10717934692124383]","[0.098, 0.01]",-0.2523560319834716,False,True
99,"[-0.6353943155305452, -0.6682699537626878, 0.7721878422971123, 0.7439188590821012, 0.12918419034689532, -0.11875079075649216, 11.26522985056182, 1.719695680753718, -0.20920496559841986, 0.08721134083781033]","[0.099, 0.01]",-0.23655610274812866,False,True
